Date,Open,Low,High,Close,Volume,Amount
1996-08-28 00:00:00,5.570,4.998,5.799,4.998,151815,54787000.00
1996-08-29 00:00:00,5.141,4.998,5.356,5.098,71748,25136000.00
1996-08-30 00:00:00,5.141,4.984,5.141,5.070,26468,9079000.00
1996-09-02 00:00:00,5.141,5.056,5.213,5.084,30487,10612000.00
1996-09-03 00:00:00,5.141,4.998,5.141,4.998,32817,11248000.00
1996-09-04 00:00:00,4.998,4.898,5.027,4.927,18796,6333000.00
1996-09-05 00:00:00,5.880,5.798,5.962,5.814,12185,4069000.00
1996-09-06 00:00:00,5.880,5.781,5.880,5.847,15897,5269000.00
1996-09-09 00:00:00,5.929,5.847,5.979,5.979,11886,4000000.00
1996-09-10 00:00:00,5.962,5.847,6.011,5.847,7001,2365000.00
1996-09-11 00:00:00,5.896,5.798,5.913,5.880,8860,2936000.00
1996-09-12 00:00:00,5.831,5.831,5.929,5.847,2946,986000.00
1996-09-13 00:00:00,5.863,5.798,5.896,5.847,4244,1413000.00
1996-09-16 00:00:00,5.847,5.798,5.880,5.831,6380,2121000.00
1996-09-17 00:00:00,5.847,5.798,5.847,5.831,4343,1440000.00
1996-09-18 00:00:00,5.831,5.732,5.847,5.765,4613,1521000.00
1996-09-19 00:00:00,5.798,5.781,5.831,5.798,2891,954000.00
1996-09-20 00:00:00,5.798,5.748,5.798,5.781,1890,621000.00
1996-09-23 00:00:00,5.617,5.469,5.814,5.748,7416,2381000.00
1996-09-24 00:00:00,5.814,5.748,5.847,5.831,5438,1797000.00
1996-09-25 00:00:00,5.863,5.732,5.863,5.781,3331,1101000.00
1996-09-26 00:00:00,5.831,5.715,5.831,5.781,3388,1115000.00
1996-09-27 00:00:00,5.798,5.765,5.814,5.781,4444,1463000.00
1996-10-03 00:00:00,5.798,5.765,5.814,5.765,2563,843000.00
1996-10-04 00:00:00,5.765,5.748,5.781,5.765,3082,1009000.00
1996-10-07 00:00:00,5.765,5.633,5.765,5.683,2959,957000.00
1996-10-08 00:00:00,5.683,5.666,5.699,5.666,3685,1188000.00
1996-10-09 00:00:00,5.683,5.535,5.683,5.551,4742,1506000.00
1996-10-10 00:00:00,5.567,5.518,5.600,5.600,3897,1231000.00
1996-10-11 00:00:00,5.600,5.551,5.650,5.650,3069,974000.00
1996-10-14 00:00:00,5.781,5.518,5.798,5.584,5592,1773000.00
1996-10-15 00:00:00,5.633,5.485,5.633,5.584,3154,997000.00
1996-10-16 00:00:00,5.633,5.600,5.666,5.617,630,201000.00
1996-10-17 00:00:00,5.633,5.551,5.633,5.567,762,241000.00
1996-10-18 00:00:00,5.567,5.551,5.584,5.567,1433,452000.00
1996-10-21 00:00:00,5.567,5.567,5.567,5.567,0,0.00
1996-10-22 00:00:00,5.567,5.469,5.600,5.584,4046,1271000.00
1996-10-23 00:00:00,5.584,5.502,5.584,5.567,2043,641000.00
1996-10-24 00:00:00,5.600,5.551,5.600,5.567,1601,506000.00
1996-10-25 00:00:00,5.567,5.567,5.600,5.584,975,309000.00
1996-10-28 00:00:00,5.600,5.567,5.715,5.617,4676,1499000.00
1996-10-29 00:00:00,5.683,5.633,5.683,5.633,1625,523000.00
1996-10-30 00:00:00,5.765,5.617,5.765,5.633,1271,409000.00
1996-10-31 00:00:00,5.699,5.567,5.699,5.567,1740,556000.00
1996-11-01 00:00:00,5.567,5.567,5.633,5.584,1578,502000.00
1996-11-04 00:00:00,5.551,5.518,5.633,5.567,1950,617000.00
1996-11-05 00:00:00,5.567,5.567,5.633,5.600,902,286000.00
1996-11-06 00:00:00,5.584,5.567,5.633,5.584,1241,393000.00
1996-11-07 00:00:00,5.633,5.584,5.633,5.600,882,281000.00
1996-11-08 00:00:00,5.633,5.551,5.633,5.551,2632,838000.00
1996-11-11 00:00:00,5.633,5.567,5.666,5.650,2284,732000.00
1996-11-12 00:00:00,5.650,5.567,5.650,5.567,1133,361000.00
1996-11-13 00:00:00,5.584,5.567,5.633,5.633,2477,791000.00
1996-11-14 00:00:00,5.633,5.633,5.765,5.650,935,300000.00
1996-11-15 00:00:00,5.633,5.633,5.798,5.798,1242,404000.00
1996-11-18 00:00:00,6.077,5.814,6.275,6.110,14290,4990000.00
1996-11-19 00:00:00,6.209,6.110,6.291,6.176,14691,5200000.00
1996-11-20 00:00:00,6.176,6.176,6.653,6.603,19262,7103000.00
1996-11-21 00:00:00,6.636,6.127,7.278,6.291,50433,19741000.00
1996-11-22 00:00:00,6.291,6.127,6.949,6.949,42797,16047000.00
1996-11-25 00:00:00,7.031,7.031,7.870,7.837,46836,20531000.00
1996-11-26 00:00:00,8.067,7.508,8.429,7.903,52744,24703000.00
1996-11-27 00:00:00,7.903,6.949,8.248,7.261,32999,14296000.00
1996-11-28 00:00:00,7.195,7.113,7.853,7.853,29782,13044000.00
1996-11-29 00:00:00,8.264,7.771,8.462,8.100,34942,16299000.00
1996-12-02 00:00:00,8.396,8.396,9.399,9.218,56160,29217000.00
1996-12-03 00:00:00,9.383,8.593,10.156,9.827,64072,36508000.00
1996-12-04 00:00:00,9.909,9.514,10.040,9.909,39290,22663000.00
1996-12-05 00:00:00,9.991,9.991,10.731,10.731,43836,26540000.00
1996-12-06 00:00:00,10.731,10.731,11.553,11.192,46212,30637000.00
1996-12-09 00:00:00,11.389,11.389,12.228,12.178,49036,34573000.00
1996-12-10 00:00:00,12.047,11.636,12.474,11.965,50042,35729000.00
1996-12-11 00:00:00,11.882,10.419,12.047,11.356,33404,22556000.00
1996-12-12 00:00:00,11.422,10.813,11.981,11.389,46424,31190000.00
1996-12-13 00:00:00,11.225,9.169,11.356,9.679,41812,25253000.00
1996-12-16 00:00:00,8.774,8.774,8.774,8.774,742,379000.00
1996-12-17 00:00:00,7.936,7.936,7.936,7.936,19104,8787000.00
1996-12-18 00:00:00,7.179,7.179,8.692,8.692,25463,12138000.00
1996-12-19 00:00:00,9.218,8.018,9.531,8.264,68795,36274000.00
1996-12-20 00:00:00,8.314,8.100,8.922,8.429,26977,13049000.00
1996-12-23 00:00:00,8.593,8.429,9.054,8.955,22095,11341000.00
1996-12-24 00:00:00,9.087,8.593,9.317,8.676,36003,18959000.00
1996-12-25 00:00:00,8.676,8.676,8.676,8.676,0,0.00
1996-12-27 00:00:00,9.235,9.120,9.514,9.514,39796,21767000.00
1996-12-30 00:00:00,9.662,9.662,10.402,10.386,45592,26936000.00
1996-12-31 00:00:00,10.402,9.465,10.402,9.580,29934,17183000.00
1997-01-02 00:00:00,9.531,9.531,9.991,9.712,12586,7123000.00
1997-01-03 00:00:00,9.728,9.251,9.744,9.333,16789,9273000.00
1997-01-06 00:00:00,9.416,8.922,9.416,8.922,7847,4195000.00
1997-01-07 00:00:00,8.758,8.610,9.416,9.333,16421,8700000.00
1997-01-08 00:00:00,9.416,9.004,9.481,9.235,7745,4205000.00
1997-01-09 00:00:00,9.399,9.218,9.399,9.268,4562,2476000.00
1997-01-10 00:00:00,9.333,9.251,9.416,9.366,2392,1301000.00
1997-01-13 00:00:00,9.416,9.416,9.662,9.580,7995,4469000.00
1997-01-14 00:00:00,9.547,9.350,9.580,9.416,2761,1522000.00
1997-01-15 00:00:00,9.251,9.251,9.448,9.383,2029,1112000.00
1997-01-16 00:00:00,9.251,9.218,9.416,9.284,1469,798000.00
1997-01-17 00:00:00,9.383,9.366,9.465,9.465,3223,1771000.00
1997-01-20 00:00:00,9.498,9.498,9.712,9.662,5129,2892000.00
1997-01-21 00:00:00,9.728,9.662,9.810,9.695,4543,2590000.00
1997-01-22 00:00:00,9.777,9.744,9.991,9.958,11635,6764000.00
1997-01-23 00:00:00,10.008,9.909,10.008,9.991,8127,4743000.00
1997-01-24 00:00:00,10.057,9.761,10.057,9.942,7081,4100000.00
1997-01-27 00:00:00,10.633,10.073,10.633,10.419,11080,6690000.00
1997-01-28 00:00:00,10.435,10.172,10.485,10.238,6239,3763000.00
1997-01-29 00:00:00,10.205,10.090,10.238,10.106,5000,2972000.00
1997-01-30 00:00:00,10.073,10.073,10.336,10.336,4463,2669000.00
1997-01-31 00:00:00,10.336,10.238,10.468,10.402,11095,6733000.00
1997-02-17 00:00:00,10.336,9.909,10.336,9.925,7725,4513000.00
1997-02-18 00:00:00,9.777,8.972,9.777,8.972,21529,11477000.00
1997-02-19 00:00:00,9.416,9.087,9.498,9.300,14236,7699000.00
1997-02-20 00:00:00,8.412,8.412,9.744,9.531,24986,13585000.00
1997-02-21 00:00:00,9.514,9.498,10.336,10.238,27019,16040000.00
1997-02-24 00:00:00,10.402,10.156,10.567,10.238,14983,9146000.00
1997-02-25 00:00:00,10.238,10.073,10.386,10.369,8060,4855000.00
1997-02-26 00:00:00,10.271,10.271,11.011,10.731,31333,19714000.00
1997-02-27 00:00:00,10.731,10.649,11.192,10.665,18225,11631000.00
1997-02-28 00:00:00,10.402,10.402,10.879,10.616,8454,5286000.00
1997-03-03 00:00:00,10.649,10.616,10.813,10.665,3566,2239000.00
1997-03-04 00:00:00,10.567,10.567,10.731,10.567,3470,2167000.00
1997-03-05 00:00:00,10.567,10.485,10.633,10.501,2755,1706000.00
1997-03-06 00:00:00,10.419,10.419,10.649,10.452,3977,2444000.00
1997-03-07 00:00:00,10.452,10.452,10.567,10.517,2583,1592000.00
1997-03-10 00:00:00,10.567,10.517,10.649,10.567,1718,1066000.00
1997-03-11 00:00:00,10.501,10.485,10.550,10.485,3639,2243000.00
1997-03-12 00:00:00,10.550,10.534,10.781,10.781,8336,5200000.00
1997-03-13 00:00:00,10.896,10.896,11.192,11.159,23121,15016000.00
1997-03-14 00:00:00,11.093,10.731,11.142,10.978,6769,4352000.00
1997-03-17 00:00:00,11.192,11.060,11.290,11.274,8266,5423000.00
1997-03-18 00:00:00,11.307,11.225,11.422,11.307,16355,10929000.00
1997-03-19 00:00:00,11.389,10.748,11.389,11.142,7915,5196000.00
1997-03-20 00:00:00,11.060,10.649,11.109,10.764,8183,5193000.00
1997-03-21 00:00:00,10.649,10.517,10.813,10.813,6009,3771000.00
1997-03-24 00:00:00,10.896,10.567,10.978,10.682,7584,4789000.00
1997-03-25 00:00:00,10.567,10.073,10.567,10.402,13655,8243000.00
1997-03-26 00:00:00,10.402,10.320,10.485,10.402,6752,4122000.00
1997-03-27 00:00:00,10.271,10.238,10.468,10.238,5385,3256000.00
1997-03-28 00:00:00,10.238,10.238,10.238,10.238,0,0.00
1997-04-01 00:00:00,10.452,10.254,10.485,10.353,5465,3314000.00
1997-04-02 00:00:00,10.353,10.320,10.402,10.320,4182,2534000.00
1997-04-03 00:00:00,10.304,10.205,10.353,10.336,2097,1262000.00
1997-04-04 00:00:00,10.238,10.172,10.336,10.205,4580,2752000.00
1997-04-07 00:00:00,10.320,10.287,10.649,10.287,2720,1664000.00
1997-04-08 00:00:00,10.336,10.271,10.567,10.501,8760,5362000.00
1997-04-09 00:00:00,10.435,10.073,10.649,10.485,54817,33145000.00
1997-04-10 00:00:00,10.534,10.402,10.649,10.402,1984,1226000.00
1997-04-11 00:00:00,10.402,10.238,10.600,10.485,3331,2046000.00
1997-04-14 00:00:00,10.485,10.369,11.027,10.830,11279,7120000.00
1997-04-15 00:00:00,10.846,10.616,10.896,10.813,4291,2715000.00
1997-04-16 00:00:00,10.731,10.731,11.060,10.994,6777,4365000.00
1997-04-17 00:00:00,11.060,11.027,11.932,11.784,24053,16439000.00
1997-04-18 00:00:00,12.096,11.718,12.737,12.178,24737,18009000.00
1997-04-21 00:00:00,12.507,12.178,12.688,12.376,21601,15673000.00
1997-04-22 00:00:00,12.293,12.080,12.293,12.244,13635,9800000.00
1997-04-23 00:00:00,12.195,11.734,12.326,11.981,9291,6579000.00
1997-04-24 00:00:00,11.882,11.685,12.178,12.178,9235,6473000.00
1997-04-25 00:00:00,11.915,11.882,12.376,12.014,7281,5196000.00
1997-04-28 00:00:00,12.293,12.293,12.622,12.376,15871,11663000.00
1997-04-29 00:00:00,12.540,12.014,12.540,12.293,9336,6796000.00
1997-04-30 00:00:00,12.145,12.047,12.524,12.211,5122,3702000.00
1997-05-05 00:00:00,12.376,12.047,13.066,13.033,18715,14100000.00
1997-05-06 00:00:00,12.705,12.705,14.283,14.185,39091,31990000.00
1997-05-07 00:00:00,14.020,13.938,15.155,15.007,40908,35121000.00
1997-05-08 00:00:00,14.185,13.856,15.418,15.418,44711,39112000.00
1997-05-09 00:00:00,15.155,14.678,16.816,16.520,34775,31996000.00
1997-05-12 00:00:00,16.290,15.747,16.487,15.928,12296,11630000.00
1997-05-13 00:00:00,15.829,14.678,15.994,15.895,16985,15398000.00
1997-05-14 00:00:00,15.188,14.431,15.500,15.418,24068,21452000.00
1997-05-15 00:00:00,15.023,14.760,16.158,15.171,16170,14578000.00
1997-05-16 00:00:00,14.842,13.691,14.842,13.971,9576,7971000.00
1997-05-19 00:00:00,13.362,13.198,14.349,14.283,11782,9514000.00
1997-05-20 00:00:00,14.168,13.839,14.662,14.481,9923,8382000.00
1997-05-21 00:00:00,14.102,13.527,14.185,13.839,2870,2346000.00
1997-05-22 00:00:00,12.491,12.491,13.527,12.491,3922,2919000.00
1997-05-23 00:00:00,12.474,12.047,12.540,12.376,3301,2398000.00
1997-05-26 00:00:00,12.376,11.175,12.376,11.701,28327,18993000.00
1997-05-27 00:00:00,11.553,11.208,12.293,12.261,13360,9217000.00
1997-05-28 00:00:00,12.507,11.932,12.589,12.524,8989,6554000.00
1997-05-29 00:00:00,12.359,12.211,12.705,12.211,3383,2492000.00
1997-05-30 00:00:00,12.014,12.014,12.343,12.326,1629,1176000.00
1997-06-02 00:00:00,12.047,12.047,12.672,12.655,2434,1802000.00
1997-06-03 00:00:00,12.951,12.458,12.951,12.622,2093,1561000.00
1997-06-04 00:00:00,12.622,12.063,12.787,12.211,2916,2134000.00
1997-06-05 00:00:00,12.063,11.882,12.491,12.491,2836,2042000.00
1997-06-06 00:00:00,11.290,11.290,12.145,11.504,2342,1624000.00
1997-06-10 00:00:00,11.718,10.896,11.882,11.060,1346,902000.00
1997-06-11 00:00:00,11.060,10.073,11.060,10.731,2446,1503000.00
1997-06-12 00:00:00,10.402,10.402,10.896,10.649,728,458000.00
1997-06-13 00:00:00,10.665,10.402,11.077,11.060,1035,658000.00
1997-06-16 00:00:00,10.485,10.238,11.669,11.077,1293,827000.00
1997-06-17 00:00:00,11.389,10.896,11.389,10.978,962,622000.00
1997-06-18 00:00:00,11.027,10.567,11.027,10.781,1375,868000.00
1997-06-19 00:00:00,11.109,10.698,11.109,10.731,320,203000.00
1997-06-20 00:00:00,10.896,10.567,11.126,10.978,1093,691000.00
1997-06-23 00:00:00,11.060,10.813,11.225,10.863,1218,788000.00
1997-06-24 00:00:00,11.196,10.935,11.809,11.158,1153,667000.00
1997-06-25 00:00:00,11.121,10.414,11.158,10.693,1490,836000.00
1997-06-26 00:00:00,10.675,10.656,10.786,10.768,393,219000.00
1997-06-27 00:00:00,10.786,10.433,10.786,10.600,967,526000.00
1997-07-02 00:00:00,10.600,10.600,10.600,10.600,0,0.00
1997-07-03 00:00:00,10.600,9.577,10.600,9.615,1279,636000.00
1997-07-04 00:00:00,9.615,9.317,9.726,9.726,1091,539000.00
1997-07-07 00:00:00,9.298,9.298,9.298,9.298,10,4000.00
1997-07-08 00:00:00,9.112,8.406,9.112,8.406,564,245000.00
1997-07-09 00:00:00,7.718,7.625,7.997,7.811,2176,867000.00
1997-07-10 00:00:00,7.811,7.811,8.610,8.183,1169,498000.00
1997-07-11 00:00:00,8.555,8.555,8.964,8.964,1455,663000.00
1997-07-14 00:00:00,9.670,9.317,9.819,9.652,1986,996000.00
1997-07-15 00:00:00,9.670,9.391,9.670,9.410,346,168000.00
1997-07-16 00:00:00,8.833,8.833,9.354,9.298,509,242000.00
1997-07-17 00:00:00,9.019,8.926,9.298,9.205,357,167000.00
1997-07-18 00:00:00,9.484,9.112,9.484,9.224,244,116000.00
1997-07-21 00:00:00,9.373,9.373,9.391,9.391,25,12000.00
1997-07-22 00:00:00,8.833,8.833,9.391,9.280,640,299000.00
1997-07-23 00:00:00,8.833,8.833,9.298,9.019,304,142000.00
1997-07-24 00:00:00,9.112,8.833,9.112,9.019,979,452000.00
1997-07-25 00:00:00,8.852,8.741,9.112,9.094,873,397000.00
1997-07-28 00:00:00,8.741,8.462,8.889,8.889,987,435000.00
1997-07-29 00:00:00,8.369,8.369,8.741,8.722,456,197000.00
1997-07-30 00:00:00,8.555,8.369,8.666,8.629,812,353000.00
1997-07-31 00:00:00,8.648,8.145,8.685,8.648,388,167000.00
1997-08-01 00:00:00,8.294,8.276,8.648,8.629,358,154000.00
1997-08-04 00:00:00,8.648,8.183,8.648,8.629,386,165000.00
1997-08-05 00:00:00,8.722,8.462,8.722,8.610,69,30000.00
1997-08-06 00:00:00,8.573,8.369,8.592,8.536,540,237000.00
1997-08-07 00:00:00,8.666,8.666,8.908,8.815,1106,499000.00
