Date,Open,Low,High,Close,Volume,Amount
1993-11-18 00:00:00,18.000,18.000,20.350,20.050,161991,324288000.00
1993-11-19 00:00:00,20.000,18.500,20.000,19.000,59711,113960000.00
1993-11-22 00:00:00,19.100,18.450,19.600,18.500,30245,57098000.00
1993-11-23 00:00:00,18.450,17.600,18.500,17.700,24386,43959000.00
1993-11-24 00:00:00,17.600,16.750,17.950,16.950,31164,53406000.00
1993-11-25 00:00:00,16.850,16.800,17.650,17.500,24463,42234000.00
1993-11-26 00:00:00,17.600,17.300,17.900,17.600,19899,35108000.00
1993-11-29 00:00:00,17.450,17.000,17.500,17.100,13761,23551000.00
1993-11-30 00:00:00,17.200,16.900,17.300,16.950,10282,17568000.00
1993-12-01 00:00:00,17.000,16.600,17.050,16.700,8997,15137000.00
1993-12-02 00:00:00,16.700,16.350,17.200,16.650,17359,28996000.00
1993-12-03 00:00:00,16.650,16.500,17.000,16.600,9974,16700000.00
1993-12-06 00:00:00,16.750,16.650,17.200,17.150,14492,24592000.00
1993-12-07 00:00:00,17.300,16.700,17.500,16.900,16016,27485000.00
1993-12-08 00:00:00,16.900,16.800,17.100,17.100,6085,10330000.00
1993-12-09 00:00:00,17.200,17.000,17.500,17.300,11686,20148000.00
1993-12-10 00:00:00,17.450,17.350,18.200,18.100,31552,56234000.00
1993-12-13 00:00:00,18.250,17.000,18.600,17.350,49771,89778000.00
1993-12-14 00:00:00,17.500,17.500,18.200,17.800,18584,33027000.00
1993-12-15 00:00:00,17.950,17.400,17.950,17.950,7334,13001000.00
1993-12-16 00:00:00,18.100,17.900,18.200,17.950,18918,34154000.00
1993-12-17 00:00:00,17.950,17.700,18.000,17.750,8312,14784000.00
1993-12-20 00:00:00,17.600,16.400,17.600,16.650,21067,35610000.00
1993-12-21 00:00:00,16.650,15.800,16.700,16.450,22084,35809000.00
1993-12-22 00:00:00,16.550,16.150,16.600,16.200,12293,20067000.00
1993-12-23 00:00:00,16.150,15.500,16.150,15.550,11417,18081000.00
1993-12-24 00:00:00,15.450,15.000,16.500,16.450,16092,25236000.00
1993-12-27 00:00:00,16.600,15.950,16.650,16.050,10508,17055000.00
1993-12-28 00:00:00,16.000,16.000,16.400,16.000,4895,7907000.00
1993-12-29 00:00:00,16.200,15.800,16.200,15.900,4762,7617000.00
1993-12-30 00:00:00,16.100,15.900,16.250,16.050,4838,7776000.00
1993-12-31 00:00:00,16.200,15.900,16.250,16.000,8109,12995000.00
1994-01-03 00:00:00,16.050,15.600,16.050,15.800,1832,2900000.00
1994-01-04 00:00:00,15.800,15.500,15.850,15.500,1763,2763000.00
1994-01-05 00:00:00,15.500,15.200,15.600,15.450,2833,4349000.00
1994-01-06 00:00:00,15.550,15.400,16.700,16.350,10512,16974000.00
1994-01-07 00:00:00,16.500,16.000,16.500,16.250,10005,16316000.00
1994-01-10 00:00:00,16.300,16.100,16.400,16.250,5537,9005000.00
1994-01-11 00:00:00,16.250,15.850,16.250,15.850,2996,4806000.00
1994-01-12 00:00:00,15.850,15.750,16.050,15.800,2723,4325000.00
1994-01-13 00:00:00,15.800,15.700,15.850,15.800,2031,3206000.00
1994-01-14 00:00:00,15.800,15.250,15.900,15.350,7601,11766000.00
1994-01-17 00:00:00,15.350,15.300,15.500,15.300,3288,5049000.00
1994-01-18 00:00:00,15.300,15.150,15.600,15.500,3340,5086000.00
1994-01-19 00:00:00,15.500,15.200,15.500,15.250,3076,4719000.00
1994-01-20 00:00:00,15.000,14.900,15.150,15.000,2641,3968000.00
1994-01-21 00:00:00,14.800,14.800,15.100,15.000,2477,3710000.00
1994-01-24 00:00:00,15.100,15.100,15.500,15.200,3908,5949000.00
1994-01-25 00:00:00,15.300,14.900,15.300,14.900,1856,2788000.00
1994-01-26 00:00:00,14.900,14.650,14.900,14.750,3003,4426000.00
1994-01-27 00:00:00,14.750,14.550,15.100,15.100,2912,4299000.00
1994-01-28 00:00:00,15.100,14.500,15.150,14.550,1891,2795000.00
1994-01-31 00:00:00,14.250,13.650,14.300,13.650,4294,5960000.00
