Date,Open,Low,High,Close,Volume,Amount
2015-05-28 00:00:00,0.901,0.901,0.901,0.901,12367,1114266.00
2015-05-29 00:00:00,0.833,0.833,0.855,0.837,942004,79947180.00
2015-06-01 00:00:00,0.833,0.815,0.840,0.830,865827,72054360.00
2015-06-02 00:00:00,0.827,0.824,0.870,0.845,385873,32413520.00
2015-06-03 00:00:00,0.841,0.836,0.860,0.857,279805,23879750.00
2015-06-04 00:00:00,0.858,0.854,0.870,0.861,353271,30568780.00
2015-06-05 00:00:00,0.869,0.852,0.869,0.861,146656,12629480.00
2015-06-08 00:00:00,0.861,0.836,0.861,0.839,323444,27250930.00
2015-06-09 00:00:00,0.836,0.828,0.839,0.835,493764,41222700.00
2015-06-10 00:00:00,0.834,0.825,0.835,0.832,231242,19213730.00
2015-06-11 00:00:00,0.827,0.825,0.834,0.833,659129,54617260.00
2015-06-12 00:00:00,0.830,0.828,0.833,0.831,742048,61618820.00
2015-06-15 00:00:00,0.832,0.823,0.832,0.828,479707,39720030.00
2015-06-16 00:00:00,0.823,0.821,0.834,0.830,300421,24920890.00
2015-06-17 00:00:00,0.830,0.827,0.834,0.832,237711,19773350.00
2015-06-18 00:00:00,0.832,0.829,0.834,0.831,252407,20995400.00
2015-06-19 00:00:00,0.831,0.828,0.835,0.830,200629,16672030.00
2015-06-23 00:00:00,0.830,0.820,0.831,0.822,274525,22706280.00
2015-06-24 00:00:00,0.825,0.825,0.830,0.827,319709,26437330.00
2015-06-25 00:00:00,0.827,0.826,0.845,0.840,250151,20924140.00
2015-06-26 00:00:00,0.841,0.841,0.859,0.858,430335,36699460.00
2015-06-29 00:00:00,0.840,0.833,0.849,0.841,241044,20273210.00
2015-06-30 00:00:00,0.832,0.823,0.845,0.823,185576,15419570.00
2015-07-01 00:00:00,0.810,0.800,0.822,0.815,378959,30708640.00
2015-07-02 00:00:00,0.809,0.803,0.817,0.806,281376,22730760.00
2015-07-03 00:00:00,0.803,0.802,0.817,0.810,418552,33826970.00
2015-07-06 00:00:00,0.808,0.780,0.849,0.835,235095,19325860.00
2015-07-07 00:00:00,0.835,0.826,0.860,0.852,292246,24851640.00
2015-07-08 00:00:00,0.852,0.767,0.855,0.799,347940,27752790.00
2015-07-09 00:00:00,0.799,0.799,0.879,0.860,638685,53566980.00
2015-07-10 00:00:00,0.844,0.833,0.909,0.881,717837,62933850.00
2015-07-13 00:00:00,0.876,0.845,0.881,0.877,369296,32197240.00
2015-07-14 00:00:00,0.850,0.850,0.898,0.882,152422,13240090.00
2015-07-15 00:00:00,0.880,0.870,0.893,0.870,388363,34350460.00
2015-07-16 00:00:00,0.890,0.868,0.909,0.905,618401,54752730.00
2015-07-17 00:00:00,0.904,0.888,0.918,0.909,354811,32363060.00
2015-07-20 00:00:00,0.905,0.886,0.909,0.896,225694,20347970.00
2015-07-21 00:00:00,0.898,0.870,0.900,0.891,98424,8816567.00
2015-07-22 00:00:00,0.895,0.850,0.895,0.877,306139,26760200.00
2015-07-23 00:00:00,0.871,0.855,0.875,0.863,229292,19825010.00
2015-07-24 00:00:00,0.859,0.845,0.865,0.862,258773,22097890.00
2015-07-27 00:00:00,0.869,0.862,0.905,0.900,1493658,132738100.00
2015-07-28 00:00:00,0.911,0.891,0.920,0.901,1561716,141917700.00
2015-07-29 00:00:00,0.890,0.882,0.925,0.904,936025,85239380.00
2015-07-30 00:00:00,0.902,0.902,0.939,0.939,1195234,109807800.00
2015-07-31 00:00:00,0.933,0.921,0.949,0.943,1202243,112342900.00
2015-08-03 00:00:00,0.942,0.936,0.951,0.945,827184,78088790.00
2015-08-04 00:00:00,0.941,0.927,0.946,0.931,513437,48256410.00
2015-08-05 00:00:00,0.930,0.923,0.949,0.944,336173,31545290.00
2015-08-06 00:00:00,0.945,0.940,0.955,0.955,311423,29459060.00
2015-08-07 00:00:00,0.954,0.943,0.954,0.951,242853,23057780.00
2015-08-10 00:00:00,0.949,0.921,0.949,0.934,357622,33535090.00
2015-08-11 00:00:00,0.930,0.921,0.938,0.931,322117,29894280.00
2015-08-12 00:00:00,0.931,0.930,0.940,0.936,190934,17828920.00
2015-08-13 00:00:00,0.933,0.932,0.941,0.935,298697,27948080.00
2015-08-14 00:00:00,0.932,0.930,0.935,0.933,181578,16940660.00
