Date,Open,Low,High,Close,Volume,Amount
2012-12-14 00:00:00,101.600,101.600,101.600,101.600,5,5080.00
2012-12-18 00:00:00,102.800,102.800,103.000,103.000,13001,13380530.00
2012-12-20 00:00:00,103.000,103.000,103.000,103.000,5000,5150000.00
2012-12-21 00:00:00,103.010,103.010,103.010,103.010,10000,10301000.00
2012-12-31 00:00:00,102.900,102.900,102.900,102.900,999,1027971.00
2013-01-10 00:00:00,103.300,103.300,103.300,103.300,567,585711.00
2013-01-11 00:00:00,103.300,103.000,103.300,103.290,36670,37786330.00
2013-01-14 00:00:00,103.380,103.300,103.380,103.340,1592,1644832.00
2013-01-15 00:00:00,102.450,102.450,103.350,103.350,23141,23915540.00
2013-01-21 00:00:00,103.020,103.020,103.580,103.370,71,73182.00
2013-01-22 00:00:00,103.590,103.590,103.590,103.590,1,1035.00
2013-01-23 00:00:00,103.580,103.300,108.000,103.590,6479,6701548.00
2013-01-24 00:00:00,103.600,103.500,103.600,103.500,83,85925.00
2013-01-25 00:00:00,103.500,103.500,106.000,106.000,4648,4811308.00
2013-01-28 00:00:00,103.520,103.450,103.690,103.610,2635,2729353.00
2013-01-29 00:00:00,103.690,103.680,103.690,103.680,11,11404.00
2013-01-30 00:00:00,103.700,103.680,103.700,103.680,1021,1058577.00
2013-01-31 00:00:00,103.530,103.530,103.680,103.680,3076,3188329.00
2013-02-01 00:00:00,106.880,103.610,106.880,103.700,1090,1130314.00
2013-02-04 00:00:00,104.040,103.800,104.040,103.800,316,328035.00
2013-02-05 00:00:00,103.700,103.700,103.900,103.730,5350,5557959.00
2013-02-06 00:00:00,103.730,103.730,112.000,103.940,943,982436.00
2013-02-07 00:00:00,105.550,104.370,105.550,104.370,11,11492.00
2013-02-08 00:00:00,104.350,103.860,104.430,104.430,1018,1060213.00
2013-02-18 00:00:00,103.970,103.840,104.010,103.990,12543,13028050.00
2013-02-19 00:00:00,104.000,103.990,104.090,104.070,5857,6091351.00
2013-02-20 00:00:00,103.450,103.450,104.170,104.160,4023,4187735.00
2013-02-21 00:00:00,104.200,103.930,104.200,104.190,1701,1772227.00
2013-02-25 00:00:00,104.100,104.100,104.370,104.370,22,22904.00
2013-02-26 00:00:00,104.150,103.800,105.000,104.080,1746,1814432.00
2013-02-27 00:00:00,104.070,104.070,104.150,104.140,60085,62530520.00
2013-03-01 00:00:00,104.180,104.180,104.180,104.180,1,1041.00
2013-03-04 00:00:00,104.010,104.010,104.200,104.200,221,230052.00
2013-03-05 00:00:00,104.170,104.170,104.190,104.190,301,313561.00
2013-03-06 00:00:00,104.170,104.170,104.440,104.400,2233,2330594.00
2013-03-07 00:00:00,104.450,104.450,104.490,104.480,793,828353.00
2013-03-11 00:00:00,104.540,104.540,104.550,104.540,100,104543.00
2013-03-13 00:00:00,104.520,104.520,104.560,104.550,427,446351.00
2013-03-15 00:00:00,104.300,104.300,104.610,104.610,446,465906.00
2013-03-18 00:00:00,104.390,104.380,104.600,104.500,800,835553.00
2013-03-19 00:00:00,104.100,104.100,104.450,104.440,2751,2869397.00
2013-03-20 00:00:00,104.250,104.250,104.380,104.360,592,617566.00
2013-03-21 00:00:00,104.340,104.340,104.400,104.400,908,947488.00
2013-03-22 00:00:00,104.400,104.390,104.400,104.400,562,586722.00
2013-03-25 00:00:00,104.390,104.390,104.500,104.500,4527,4725747.00
2013-03-26 00:00:00,104.390,104.390,104.490,104.480,1255,1310225.00
2013-03-27 00:00:00,104.790,104.790,104.790,104.790,1,1047.00
2013-03-29 00:00:00,104.480,104.120,104.990,104.950,4119,4316082.00
2013-04-02 00:00:00,104.700,104.700,106.800,105.000,342,362692.00
2013-04-03 00:00:00,104.930,104.930,106.000,105.390,17,17896.00
2013-04-08 00:00:00,105.090,105.090,105.370,105.370,16,16828.00
