Date,Open,Low,High,Close,Volume,Amount
2014-12-09 00:00:00,99.980,92.000,99.990,99.930,10788,107509600.00
2014-12-10 00:00:00,99.750,99.750,99.900,99.810,8792,87761220.00
2014-12-11 00:00:00,99.810,99.800,99.910,99.909,7203,71951780.00
2014-12-12 00:00:00,99.923,99.904,99.990,99.953,4422,44199200.00
2014-12-15 00:00:00,99.960,99.950,99.980,99.968,4969,49669660.00
2014-12-16 00:00:00,99.970,99.931,99.970,99.958,2695,26936330.00
2014-12-17 00:00:00,99.900,99.715,99.934,99.904,4979,49736670.00
2014-12-18 00:00:00,99.801,99.601,99.920,99.910,2420,24153380.00
2014-12-19 00:00:00,99.900,99.713,99.986,99.967,1902,18997940.00
2014-12-22 00:00:00,99.925,99.851,99.965,99.963,1845,18442140.00
2014-12-23 00:00:00,99.963,99.963,99.988,99.973,2804,28028360.00
2014-12-24 00:00:00,99.973,99.973,99.999,99.989,2900,28996170.00
2014-12-25 00:00:00,99.991,99.982,99.992,99.991,1556,15561970.00
2014-12-26 00:00:00,99.994,99.982,99.996,99.994,2457,24569750.00
2014-12-29 00:00:00,99.983,99.972,99.990,99.984,1241,12403930.00
2014-12-30 00:00:00,99.964,99.953,100.002,99.994,1029,10285260.00
2014-12-31 00:00:00,99.997,99.997,100.010,100.006,1175,11755230.00
2015-01-05 00:00:00,99.989,99.971,100.000,99.998,3802,38014010.00
2015-01-06 00:00:00,99.951,99.951,99.988,99.976,1366,13657570.00
2015-01-07 00:00:00,99.965,99.965,99.991,99.983,2327,23269020.00
2015-01-08 00:00:00,99.983,99.975,99.993,99.992,903,9032299.00
2015-01-09 00:00:00,99.965,99.965,99.995,99.989,647,6470645.00
2015-01-12 00:00:00,99.993,99.800,99.993,99.972,2072,20709270.00
2015-01-13 00:00:00,99.900,99.900,99.973,99.968,562,5616067.00
2015-01-14 00:00:00,99.966,99.960,99.985,99.961,358,3576968.00
2015-01-15 00:00:00,99.978,99.962,99.985,99.985,343,3433367.00
2015-01-16 00:00:00,99.975,99.972,99.995,99.985,346,3455075.00
2015-01-19 00:00:00,99.971,99.971,99.990,99.986,263,2625238.00
2015-01-20 00:00:00,99.982,99.982,99.993,99.993,463,4624681.00
2015-01-21 00:00:00,100.006,99.978,100.006,99.996,340,3394791.00
2015-01-22 00:00:00,99.980,99.980,99.992,99.989,625,6249122.00
2015-01-23 00:00:00,99.961,99.961,99.990,99.989,230,2301671.00
2015-01-26 00:00:00,99.980,99.980,99.990,99.990,417,4168615.00
2015-01-27 00:00:00,99.986,99.884,99.988,99.982,118,1181915.00
2015-01-28 00:00:00,99.981,99.979,99.990,99.986,128,1279834.00
2015-01-29 00:00:00,99.984,99.982,99.991,99.988,49,485135.00
2015-01-30 00:00:00,99.983,99.977,100.000,99.978,124,1238507.00
2015-02-02 00:00:00,99.921,99.921,99.980,99.971,70,694684.00
2015-02-03 00:00:00,99.951,99.951,99.980,99.979,143,1429844.00
2015-02-04 00:00:00,99.966,99.966,99.985,99.980,282,2815668.00
2015-02-05 00:00:00,99.962,99.962,99.980,99.979,201,2007131.00
2015-02-06 00:00:00,99.966,99.966,99.998,99.988,152,1519936.00
2015-02-09 00:00:00,99.998,99.910,99.998,99.948,294,2942440.00
2015-02-10 00:00:00,99.913,99.861,99.965,99.932,96,954332.00
2015-02-11 00:00:00,99.932,99.155,99.975,99.840,157,1564463.00
2015-02-12 00:00:00,99.900,99.900,99.999,99.997,106,1058963.00
2015-02-13 00:00:00,99.999,99.997,100.027,100.024,8849,88492920.00
2015-02-16 00:00:00,100.028,100.025,100.800,100.499,2838,28416190.00
2015-02-17 00:00:00,100.449,100.280,100.588,100.580,5024,50497510.00
2015-02-25 00:00:00,100.000,99.999,100.159,100.002,1535,15353950.00
2015-02-26 00:00:00,100.001,100.000,100.005,100.002,13594,135943700.00
2015-02-27 00:00:00,100.002,100.000,100.200,100.056,4581,45810620.00
2015-03-02 00:00:00,100.000,99.011,100.049,100.010,4509,45085580.00
2015-03-03 00:00:00,99.995,99.994,100.009,100.001,8690,86903140.00
2015-03-04 00:00:00,99.995,99.992,99.999,99.997,1098,10981190.00
2015-03-05 00:00:00,99.996,99.991,99.996,99.992,1553,15533030.00
2015-03-06 00:00:00,99.991,99.960,99.999,99.993,2418,24172320.00
2015-03-09 00:00:00,99.940,99.907,100.010,99.952,3638,36378500.00
2015-03-10 00:00:00,99.920,99.920,99.980,99.939,935,9341248.00
2015-03-11 00:00:00,99.935,99.866,100.000,100.000,4565,45616810.00
2015-03-12 00:00:00,99.980,99.892,100.100,99.916,2240,22390080.00
