Date,Open,Low,High,Close,Volume,Amount
2008-01-17 00:00:00,100.400,100.400,100.400,100.400,31,31124.00
2008-01-18 00:00:00,100.400,100.400,100.400,100.400,610,612440.00
2008-01-21 00:00:00,91.000,91.000,100.400,99.990,2422,2325159.00
2008-01-22 00:00:00,96.010,96.010,105.000,100.300,2436,2448234.00
2008-01-23 00:00:00,100.000,99.010,108.000,101.510,6666,6829769.00
2008-01-24 00:00:00,101.000,100.990,101.000,101.000,605,611049.00
2008-01-25 00:00:00,101.000,101.000,101.000,101.000,2,2020.00
2008-01-28 00:00:00,100.500,100.500,100.500,100.500,10,10050.00
2008-02-20 00:00:00,100.500,100.500,100.500,100.500,300,301500.00
2008-02-21 00:00:00,102.000,99.000,102.000,99.000,2,2010.00
2008-02-22 00:00:00,100.400,100.400,100.400,100.400,10,10040.00
2008-02-29 00:00:00,100.500,100.500,100.500,100.500,186,186930.00
2008-03-06 00:00:00,100.880,100.880,101.000,101.000,2101,2120810.00
2008-03-10 00:00:00,101.000,101.000,101.000,101.000,1,1010.00
2008-03-11 00:00:00,101.590,101.590,101.600,101.590,5100,5181290.00
2008-03-12 00:00:00,101.600,101.600,101.600,101.600,5,5080.00
2008-03-13 00:00:00,101.590,101.300,101.590,101.300,130,132038.00
2008-03-14 00:00:00,101.010,101.000,101.010,101.000,2000,2020001.00
2008-03-17 00:00:00,101.000,101.000,101.500,101.500,12585,12722060.00
2008-03-19 00:00:00,101.400,101.400,101.400,101.400,2,2028.00
2008-03-20 00:00:00,101.500,96.080,104.990,102.000,48,49051.00
2008-03-21 00:00:00,102.000,102.000,102.000,102.000,9,9180.00
2008-03-26 00:00:00,102.000,102.000,102.010,102.000,4338,4424761.00
2008-03-27 00:00:00,103.480,103.480,103.480,103.480,1,1034.00
2008-03-28 00:00:00,103.000,103.000,103.000,103.000,40,41200.00
2008-03-31 00:00:00,103.680,103.680,103.680,103.680,1,1036.00
2008-04-25 00:00:00,101.980,101.980,102.200,102.200,52,53051.00
2008-04-29 00:00:00,100.000,100.000,102.200,102.200,22,22364.00
2008-05-05 00:00:00,101.980,101.980,102.200,102.200,50,51078.00
2008-05-08 00:00:00,102.200,102.200,102.200,102.200,12,12264.00
2008-05-26 00:00:00,102.330,101.000,112.000,101.300,54,57013.00
2008-05-27 00:00:00,100.600,100.600,104.990,102.200,31,31829.00
2008-05-28 00:00:00,96.600,96.600,109.010,102.110,95,99305.00
2008-05-29 00:00:00,100.680,98.200,107.990,102.200,108,111853.00
2008-06-02 00:00:00,102.800,102.800,102.800,102.800,20,20560.00
2008-06-11 00:00:00,102.800,102.800,102.800,102.800,30,30840.00
2008-06-23 00:00:00,102.800,102.800,102.800,102.800,15,15420.00
2008-07-21 00:00:00,102.800,102.800,102.800,102.800,1,1028.00
2008-07-25 00:00:00,102.000,102.000,102.810,102.000,122,124448.00
2008-07-28 00:00:00,102.800,102.800,102.800,102.800,5,5140.00
2008-07-30 00:00:00,101.000,101.000,101.000,101.000,471,475710.00
2008-07-31 00:00:00,100.980,100.880,101.500,101.400,241,243634.00
2008-08-01 00:00:00,101.490,101.490,101.490,101.490,1,1014.00
2008-08-04 00:00:00,102.000,102.000,102.000,102.000,2,2040.00
2008-08-06 00:00:00,92.100,92.100,101.490,101.490,3,2938.00
2008-08-07 00:00:00,101.470,101.470,101.470,101.470,5,5073.00
2008-08-11 00:00:00,100.010,100.010,101.450,101.450,11,11073.00
2008-08-14 00:00:00,101.270,101.270,101.280,101.280,11,11140.00
2008-08-21 00:00:00,101.000,101.000,101.270,101.260,225,227365.00
2008-08-22 00:00:00,101.200,101.200,101.300,101.300,16,16193.00
2008-08-26 00:00:00,101.300,101.300,101.320,101.320,39,39509.00
2008-08-27 00:00:00,101.300,101.300,101.300,101.300,30,30390.00
2008-08-28 00:00:00,101.300,101.300,101.300,101.300,194,196522.00
2008-08-29 00:00:00,102.000,102.000,102.000,102.000,100,102000.00
2008-09-02 00:00:00,102.000,102.000,102.000,102.000,114,116280.00
2008-09-04 00:00:00,102.000,102.000,102.000,102.000,20,20400.00
2008-09-23 00:00:00,100.080,100.080,102.980,102.980,51,51069.00
2008-09-24 00:00:00,103.000,103.000,103.000,103.000,16,16480.00
2008-09-25 00:00:00,104.000,104.000,104.000,104.000,10,10400.00
2008-10-09 00:00:00,109.980,105.500,114.000,112.000,152,166713.00
2008-10-16 00:00:00,110.000,110.000,110.000,110.000,24,26400.00
2008-10-17 00:00:00,108.000,108.000,108.000,108.000,10,10800.00
2008-10-21 00:00:00,109.460,109.460,109.460,109.460,1,1094.00
2008-10-22 00:00:00,105.660,105.660,109.440,106.800,326,349903.00
2008-10-23 00:00:00,106.120,106.100,106.120,106.100,20,21222.00
2008-10-27 00:00:00,104.080,103.980,107.000,106.800,275,292979.00
2008-11-04 00:00:00,109.980,109.980,109.980,109.980,20,21996.00
2008-11-05 00:00:00,104.580,104.580,108.580,108.580,57,60512.00
2008-11-12 00:00:00,109.860,109.860,109.860,109.860,9,9887.00
2008-11-13 00:00:00,105.600,105.600,109.580,107.000,46,49132.00
2008-11-14 00:00:00,107.880,107.880,107.880,107.880,1,1078.00
2008-11-17 00:00:00,106.980,106.090,106.980,106.090,18,19227.00
2008-11-19 00:00:00,106.880,104.880,106.880,106.090,11,11581.00
2008-11-20 00:00:00,106.080,105.980,106.080,105.980,13,13783.00
2008-11-21 00:00:00,107.170,107.170,107.170,107.170,1,1071.00
2008-11-25 00:00:00,104.560,104.560,106.940,106.140,37,39264.00
2008-11-27 00:00:00,103.800,103.800,105.980,105.980,41,43413.00
2008-11-28 00:00:00,100.200,100.200,105.850,105.080,17,17922.00
2008-12-02 00:00:00,104.000,103.920,105.870,105.870,73,76223.00
2008-12-03 00:00:00,104.030,104.030,104.110,104.100,101,105142.00
2008-12-04 00:00:00,104.280,104.200,104.380,104.380,110,114793.00
